look: 4 | smell: 4 | taste: 4 | feel: 3 | overall: 3.75 
look: 3.75 | smell: 3.5 | taste: 4.25 | feel: 4 | overall: 4.5 
look: 3.75 | smell: 3.5 | taste: 4 | feel: 4 | overall: 4 
look: 3 | smell: 3 | taste: 2.5 | feel: 3 | overall: 2.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.5 | taste: 4 | feel: 3.75 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 5 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 3.5 | smell: 3 | taste: 3 | feel: 3.75 | overall: 3 
look: 3.75 | smell: 3.75 | taste: 2.75 | feel: 3.25 | overall: 3 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Like my first girlfriend.... The first pale ale I ever loved.... 
look: 3.5 | smell: 3.5 | taste: 2.75 | feel: 3.5 | overall: 3 
look: 3.75 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 4 
look: 4.25 | smell: 3.5 | taste: 3.75 | feel: 3 | overall: 3.75 Look - Pours a dark orange amber color. Very attractive  Smell - A bitter smell with a slight hint of citrus.  Taste - A floral and bitter presence with a slight hint of citrus.  Feel - The mouthfeel is minimal. Could use more carbonation and head.  Overall - A solid west coast style hopped craft beer. Will be trying it more to better evaluate the popular brew.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 2.75 | smell: 2.5 | taste: 2.25 | feel: 2.5 | overall: 2.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4 
