look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 Allowed to attain a temp of 55 to 60 Degrees. Poured with a thick dark tan head. no light from my 500 lumen E2D Surefire could penetrate the Stout goblet. Pronounced coffee notes, roasted malts. not boozy. Smooth body. Great flavors.   
look: 4.5 | smell: 1.5 | taste: 1.5 | feel: 4 | overall: 1.5 Jet black. Smells like a raisin. Tastes like a raisin. Full mouthfeel. Would not recommend. 
look: 4 | smell: 4 | taste: 3 | feel: 3 | overall: 3.25 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 5 | smell: 4.25 | taste: 4.25 | feel: 5 | overall: 4.5 Black with tan foam.    Easy, earthy coffee.    Real balance between malt and coffee. Slight fruit, milk chocolate as opposed to dark -- lower percentage cacao. Cake. Not much in the way of alcohol.    Not cartoonish viscous but fine carbonation.   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.5 
look: 4.75 | smell: 4.75 | taste: 5 | feel: 4.75 | overall: 5 Still one of my favorites since I first had it at the original brewery off Miramar. The taste and feel remain exceptional. It's my birthday beer, that I treat myself to every year with NEVER a disappointment.   
look: 4 | smell: 4.25 | taste: 4.75 | feel: 5 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4.75 | smell: 4.75 | taste: 5 | feel: 4.75 | overall: 4.75 
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4 | overall: 4.5 
look: 4.25 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4.75 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4 | feel: 3.75 | overall: 4 AleSmith Brewing 'Speedway Stout' @ 12.0% , served from a 750 ml bottle  A-pour is a cola brown from the bottle to almost black in the glass with a small dissipating tan head leaving a minimal lace ring   S-chocolate , coffee  T-smooth & creamy chocolate start , coffee takes over especially on the bitter finish  MF-mild carbonation , feels full bodied  Ov-good beer , great no  prost LampertLand   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.25 Pours a rich black color with a creamy, light tan head. Smell is coffee, chocolate, and roasted malts. Taste is coffee, rich dark chocolate, roasted malts, and a hint of pine hoppy bitterness throughout. Creamy body almost chewy. Delicious beer, nice sipper for a cold day. Hides the booze well, good, blended layered flavors.   
look: 5 | smell: 4.75 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 Speedway Stout is one of the very finest non-barrel aged stouts being made. It's rich, has wonderful coffee and chocolate notes, and it has a surprisingly thick body. It's a fantastic base and is one of my go-to stouts if I have the option.   
look: 5 | smell: 4.5 | taste: 4.75 | feel: 5 | overall: 4.75 This is a great, big beer. I first tried the 2016 about a year ago, and while I liked it, I thought it was a little over hyped. Since then I have experimented with many beers, always tending toward stouts and porters. I don't know if this bottle has cellared better or if my pallet is more refined, but this beer goes right to the top. I'm no beer snob, but drinking this makes me feel like I am better than everyone else.   
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 Look - Black thin syrup with a slight disappearing head  Smell - Rich caramel vanilla coffee licorice   Taste - Rich caramel roastiness with some coffee chocolate taste, very strong   Feel - full body almost like syrup with a pretty light carbonation  Overall - pretty tasty   
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 Pours a pitch black color with a finger width foamy head. Head retention is good. Lacing is very good. Nice roasted chocolate aroma. Slight java. Smooth and creamy taste. Roasted with chocolate and stronger java bitterness at the end. Heavy bodied with mild to moderate carbonation.   
look: 4 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.75 
look: 4.5 | smell: 3.75 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 16oz can poured into a snifter    A- pours a thick jet black color with a two-finger creamy khaki colored head that has great retention and leaves plenty of lacing behind    S- chocolate and roasted malt mix with herbal and earthy espresso notes, followed by caramel, dark fruits & malted milk    T- charred malt and dark chocolate notes up front, immediately followed by rich herbal espresso notes & mocha cream. Mid-palate gives some dark fruit notes, as well as molasses and more charred malt. The finish gives more coffee that gives a long linger    M- medium body with moderate carbonation leads to a creamy mouthfeel that continues into a slightly warming finish    O- a classic stout that has stood the test of time, big, bold and roasty   
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 This stout pours thick & viscous in the snifter. Big maltiness lingering on the palate with some big notes of dark baker's chocolate amalgamate with some faint coffee notes although there are no adjuncts in the version that I am drinking. Nothing hits the spots during the cold winter time better than a well made Imperial Stout & the 12% alcohol is hidden well. This is a well made stout. I highly recommend this beer although it is a little pricey. This is a World Class beer. Cheers! A   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.5 Pours inky black with a finger height of brown head. Aroma of smoke, oak ,cherries and chocolate. Taste is very much in line with the smell, liquorice and espresso, alcohol is there but intertwined and melded with so much body and flavors. Nice work here.   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 5 | taste: 4 | feel: 4 | overall: 4 
