look: 4.5 | smell: 4 | taste: 3.5 | feel: 3.5 | overall: 4 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 12oz bottle bb 8/21/23 poured into a Spiegelau stout glass at fridge temp 9.1% ABV. The beer pours dense very dark brown with milk chocolate colored head. The head recedes to a thin ring and leaves a little lacing. The aroma is a mixture of bitter chocolate, roasty malts and earthy hops. The taste is bitter first with coffee, dark chocolate, ash and some earthy hop flavor coming out after the initial shock. The mouthfeel is medium to full bodied, adequately carbonated and dry in the finish. Overall, good. Big bitterness here, but no trace of the high ABV. I might enjoy this more at the best by date 4.5 years from now than I do today at 6 months old.   
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4.75 | smell: 4 | taste: 5 | feel: 4 | overall: 4 
look: 4.75 | smell: 4.5 | taste: 3.5 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 3.5 | taste: 3.75 | feel: 4 | overall: 3.75 A 12 fl. oz. bottle with an enjoy by date of 27th January 2021. Poured into a snifter glass.    Appearance: Dark dark brown to black in colour with a thin mocha head that dissipated fairly quickly and left some sparse lacing.    Aroma: Piney hops, roasted malts, chocolate and coffee.    Taste: Roasted malts, piney hops, chocolate, coffee, dark fruit, light herbal and a hint of liquorice.    Mouthfeel: Creamy, medium bodied with soft carbonation.    Overall: A nice Imperial Stout, although I’m not too fond of the liquorice and herbal mix on the finish.   
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 Almost solid black,cola like color. Around a medium body with light carbonation   Aroma to me was heavy dark fruit,especially prune followed by bitter coffee and roasted malt aroma was al.ost too much dark fruit and I questioned if something was off with this bottle somehow  Taste was again heavy raisin and prune. As it warmed the coffee and roasted malt became more dominate   
look: 4.25 | smell: 4.5 | taste: 4 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 
