look: 5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 The last of the first 3 impressions, and the one that cemented IPA over Imperial Stout for my overall preference. Stone and Bells are my faves, until I discover a brewery I think is better. My tastes are pretty set after a decade, but change could happen.   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 3.5 | taste: 4 | feel: 3.25 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 easily one of the best black ipas I've ever had. if there wasn't a very slight burnt taste I wouls have thought I was drinking one of stone's top ipas   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 3.75 
look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 2 
look: 4.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 
look: 4.5 | smell: 5 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.25 | overall: 3.75 Poured into a tulip, the appearance was a nice looking black color with an eggshell white foamy head that slid off at a moderate pace. Sliding semi-stringy lace ran down the glass fairly nice.  The aroma had some roasted almonds, citrus peel, slight grapefruit, then coffee grounds, dark chocolate nibs, and had a slight chalk-like malt backbone.  The flavor had that dry chalky roasty sort of almond to coffee ground taste pretty bold and up front pummeling the dark chocolate further into the background. Super chalky dry/coffee ground aftertaste.  The mouthfeel was about medium bodied, perhaps just a touch under but having a decent sipping quality about it. Carbonation felt appropriate. ABV felt appropriate. Finish was super dry with some citrus, grapefruit and coffee grounds.  Overall, though reviewed fresh, I have to admit, it's not exactly one of the best black IPA's on the market, I guess that's why this got retired.   
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 4 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.25 | smell: 3.75 | taste: 4.5 | feel: 4.25 | overall: 4 Look: Solid Pepsi with a bourbon diffuse color and a thick, black in the body. The head is as thin as they come and colored burnt umber. It's definitely odd, especially for an IPA.  Smell: Vibrant Citrus notes of orange peel and cantaloupe. It has a decent presence of roasted malt character with notes of almonds and walnuts.  Taste: Sweet and layered. Stronger malt character than most IPAs. Strong notes of citrusy fruits including grapefruit and orange. Notes of oak with a little bit of spices, bourbon, and a hint of chocolate.  Mouthfeel: Light and carbonated entry with a thicker body. The sweet finish sticks in the tongue making you crave another sip. Dynamic and drinkable but thinner than I'd like.  Overall: a peculiar blend of styles that nails the taste but falls short in it's consistency.   
look: 4 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 5 | feel: 4.5 | overall: 4.75 
look: 4.25 | smell: 3.75 | taste: 3.25 | feel: 3.5 | overall: 3.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.5 
look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 3 | overall: 3.5 
look: 4 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4.5 
look: 3.75 | smell: 3 | taste: 2.5 | feel: 2.75 | overall: 2.75 Glad this is retired. The quintessential way to make a terrible black IPA. All roast, bitterness and astringency. Like biting into a piece of chalk wrapped in powder instant coffee particles. Have another beverage ready to wash out your mouth after drinking this.   
look: 3.75 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 Pours jet black with nice tan head and good lacing. Smell consists of some dark chocolate, hops, and little hit of coffee and a malty zest. Flavor is nice, hops hit you up front with little pine, the malt and bits of chocolate/coffee break into the mix. The finish is dry and hoppy. Overall this is a very pleasant beer, well done Stone.   
