look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 3.25 | smell: 4.5 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4 |  overall: 4 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 5 | smell: 5 | taste: 4.75 | feel: 5 | overall: 5 Pours reddish brown and slightly hazy. Smells and tastes amazing. Get it if you can find it. 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 I received this from @bum4ever in the NBS BIF 8.5. Bottled on 7/2/2018 and poured from a 375 ML cork and cage bottle into a tulip glass. The color is somewhere between ruby and orange and the ecru-colored head dissipated quickly. It has a very fragrant smell of ripe cherry, oak, red wine, and brett yeast. The taste is complex: tart cherry, pinot noir, oak, and a crackery malt at the finish. The flavors are all bold but they blend very well and there is a surprising balance of sweet and sour. It finishes with a touch of bitterness. This ale is a nice, full body with lively carbonation, and it's easily drinkable at 7.75% ABV. While I am not a connoisseur of Wild Ales, I have to say that Supplication is really delicious and fun to drink.   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 Pours a reddish brown color with a thin foamy head. No head retention with mild to moderate lacing. Tart, smooth taste with cherries and mild red wine. Nice tart taste with cherries up front and red wine on the end. Smooth. Light to medium bodied with moderate carbonation.   
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Pours a reddish-brownish orange with fine, soft head.    Smell is tart and oaky with notes of cherries, red wine, grapefruit and orange rind.    Taste is tart and funky with notes of cherries, oak and citrus. Very subtle and balanced with a dry, almost coarse finish.    Mouthfeel is medium, with bright carbonation.    Overall, a really nice sour that is subtle and well made, but maybe not as exceptional as I had hoped.   
look: 4.5 | smell: 4.5 | taste: 5 | feel: 4.5 | overall: 4.5 Pours a beautiful slightly hazy deep reddish amber color with a 2 finger biscuit head. Aroma is dense with red whine and oak notes. Flavor is warm oak up front quickly turning to pinot noir notes. A rich sweet malt behind it blended with the lightly sour notes is very well done. Feel is lightly soft with a moderate effervescence. This is just stupendous. Perfectly balances in all regards.   
look: 4.75 | smell: 4.25 | taste: 5 | feel: 4.75 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4 | smell: 3.75 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4.5 | taste: 5 | feel: 5 | overall: 4.75 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 Tart, red wine barrel, juicy sour cherries, vanilla, oak barrel, balanced caramel malts, light medium bodied 
look: 4.5 | smell: 4.75 | taste: 3.75 | feel: 4 | overall: 4 It smells phenomenal. I don’t think the taste lives up to the smell, and for the price and hype I have to say I was disappointed.     All in all a very high quality beer.   
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 5 | overall: 5 Pours deep reddish brown. Lovely head but short lived.  After that it's all Beer vs Wine... lovely red wine notes throughout and its well sour. Cherry menthol and port--like warming alcohol without a burn. add in some nut flavours as well.  But  There is a complexity to this I haven't had before in any sour. The port notes and the smooth mouthfeel are soooo different.   
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 2017 vintage. Rating #400 for me on BA.    Pours deep red with a thin off-white head.    The nose is cherry, cranberry, and funk.    The taste is tart cherry and red wine.    The mouthfeel is medium minus and taut.    Overall, clean and refined. Pretty awesome stuff.   
look: 4.25 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4.5 | smell: 4.5 | taste: 3.75 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.75 | feel: 4.5 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.25 Pours a dark reddish brown with a quickly receding off white head. Nose is tart sour cherry. Taste follows with a definite red wine influence. Definitely the 2nd best wild ale I've tasted next to RR Consecration.   
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 Served from a bottle into a flute at Toronado Bar in San Francisco; produced in 2018  A: Pours a deep brown color with ruby highlights and an off white head, displaying moderate retention and solid lacing.   S: Tart with aromas of cherries, pinot noir grapes, and vanilla. Lacto clearly present.   T: Tangy with flavors following the aromas fairly closely. Earthier, woodier, with an ?old leather note.   M: Substantive mouthfeel. Full bodied with beautifully persistent effervescence.  O: Despite consuming this very early, it presented very complex and mature flavor characteristics. Would love to be able to get this back home.   
look: 4 | smell: 4.25 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.25 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.5 | smell: 4.75 | taste: 4.25 | feel: 4.25 | overall: 4.25 Look: It pours brown with a slightly off white head. Head retention is moderately good.     Smell: The first impression is a winy, sour aroma. It is followed by cherries and leather. There is also a bit of a barnyard impression.     Taste: There are flavors of cherries and leather with a moderate vinous quality. There are some wood like qualities to it. There are low levels of malt in the background. It has a very faint hint of smoke.     Feel: It has a moderately feel with some pleasant alcohol warming. It is quite sour to start, but does manage of dry finish.     Overall, it is quite complex in the nose and in the flavor with plenty of sour and brett qualities with the wine qualities. It work well together.   
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4 | smell: 4 | taste: 3.5 | feel: 4 | overall: 3.75 
look: 4.5 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 Bottled on: 01-25-18    Look - Mid-brown with a reddish hue. 1 finger head with pour from a 375ml bottle. Head dissipates - as expected with an aged sour. Stays active with some bubble streams for quite some time.    Smell - Hoped for a more pungent aroma. Cherry, vanilla, wood, almond, tobacco, hint of vinegar.     Taste - Tart up front - then you get some of the cherry, grape, and malt - somewhat sweet for a bit. Dries out / becomes quite sour quickly. Alcohol is not overpowering, but you know it is there. Flavors of red wine, charred wood, raspberry, and cherry all continue to swirl around the taste-buds. Very complex. As the fruit and sour notes fade, I was left with a surprisingly strong charred oak / grain aftertaste.     Feel - thinner side of a medium beer I would say. Not too thin but right where it needs to be. The bubbles subsided before I was half way through - slightly more carbonation would have been ok, but understandable with this style of beer.    Overall - This is an amazing beer. So complex with so many flavors to try to nail down. I took tiny sips throughout the entire drinking experience. This is well balanced in that it is quite sour but so much else going on that it isn't the only characteristic. I will buy this one again. Another amazing brew from RR.   
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 06/2014 - Huge cherry, oak, some cinnamon, and notable wine aromas; sour, woody, chewy body with lingering sweetness and cherries; tart finish that lingers, with cherry, too.   
look: 5 | smell: 4.75 | taste: 5 | feel: 4.5 | overall: 4.75 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.25 | smell: 5 | taste: 4.75 | feel: 4.75 | overall: 4.5 From bottle bottled 022717 and cellered at 55 deg. 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.5 Pours a deep ruby brown color, minimal foam head. Cherry / raspberry aroma. Tart and slightly sweet, ample sour cherry flavor, light oak on the dry finish. Overall very enjoyable.     8/13/18  375 ml bottle dated 1/28/18 - thanks Adam  4.5 rating   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.25 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 
