look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 Very nice, smooth, rich imperial stout that had a good balance between mild bitterness and malt sweetness. Pours a deep, dark, rich black color with some darker tan-copper head and some sheets of lingering lacing that stayed for about 10-15 minutes. Smells of dark roast coffee, dark chocolate, roasted nuttiness, stone fruit, malt, caramel and vanilla. Taste follows the nose, along with some brown sugar, raisin and some faint toffee. Smooth, rich, slightly sticky mouthfeel that mildly coated the palate. Good carbonation. An excellent beer and I’m looking forward to trying their barrel-aged version.   
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.75 | overall: 4.5 12oz canned 8/22/18 (5 months ago) poured into a Spiegelau stout glass at fridge temp 10.5% ABV. The beer pours dense black with reddish mocha colored head. The head recedes to a quarter inch cap and the lacing is complete and spectacular. The aroma is earthy chocolate and roast malt. The taste is semisweet roasty, ashy, bitter chocolate with hints of caramel. The mouthfeel is full bodied with just less than medium carbonation and a semi dry finish. Overall, outstanding. The feel is the star here with taste and appearance coming closely behind. Velvety texture and a fantastic balance of sweet and bitter.   
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.75 Finally rating my fave RIS. Better than Expedition by a slight margin, the flavors are more complex and meld together with ease. They do well to limit the molasses from overwhelming the beer while letting the subtle flavors of vanilla, chocolate, dark fruit, and hints of coffee to come to the forefront. Just perfectly balanced, zero booze, one of my favorite beers of all time.   
look: 4 | smell: 3.5 | taste: 3 | feel: 3.5 | overall: 3.5 
look: 4.25 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 I've been waiting to find and drink this beer.  Well..... good but not outstanding for me 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
