look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.75 | smell: 4.25 | taste: 3.75 | feel: 4 | overall: 4 This is a beer that I haven't previously reviewed because I never it liked as much as the score indicates I should (it's got a strange bitterness to me). This time, I opened a 2014 bottle in 2019, and though it's slightly better, it still has an odd bitterness for me.    Appearance – Pours a nice black color with a surprisingly thick chocolate colored head (surprising due to the aging on this bottle). Slightly larger than normal sized bubbles in the head that stick to the walls of the glass. A nice looking beer!    Smell – Malt, molasses, licorice, cherry bark, oak, and red wine. A very light hint of bourbon and vanilla.    Taste – Somewhat bitter. Tastes of malt, oak, and wine. Maybe just a hint of bourbon.     Mouthfeel – A nice creamy stout, though it has a lingering bitter aftertaste.    Drinkability – For me, this is just an ok stout. I personally find their Obsidian Stout much better.   
look: 4.75 | smell: 5 | taste: 5 | feel: 5 | overall: 4.75 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 4.25 | overall: 3.75 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.5 2015 vintage enjoyed February 2019. Pours a deep black with short lived tight brown head. Aroma is complex with molasses, dark chocolate, licorice, but with strong notes of dark fruits.  Taste has the dark fruits and molasses up front with licorice, bittersweet chocolate, but a strong sense of coffee as well as cherry in the back. Bitterness lingers in the smooth full mouthfeel, increasingly complex as it warms. Wonderful beer.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 3.75 | feel: 3.5 | overall: 3.75 I had the nitro version of this one on tap recently.    I prefer the non-nitro version 
look: 4.75 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
