look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 5 | smell: 5 | taste: 4.25 | feel: 4.75 | overall: 4.75 Used to be my #1, but still top 10 after 20 years. BRANDIED RAISINS. 
look: 4 | smell: 4 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4.5 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 
look: 4 | smell: 5 | taste: 5 | feel: 5 | overall: 5 This is a amazing beer. I live about 45 minutes from the brewery. Definitely their best non G.O.T offering. I definitely plan on going to the brewery soon.   
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 2 | taste: 3.25 | feel: 3 | overall: 3.5 
look: 4.5 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4.25 I cellared this brew since fall 2016 and This Quad holds up to pour a nice rich slight hazy redish brown with a still very thick body tan head... that holds up with fairly nice lacing.  For the aroma...it has a nice slightly nutty/cherry fruit note to it and maybe a bit plum/prunes hint maybe on the burnt side tho.  Taste is also still up front and personal...with a mild edge with the fruity cherry/prune coming thru & a mild sweetness to it along with some mild funk & a slight roasty edge.  The feel follows the taste and I feel better with age...being on the edgey side, but maybe from the nice ABV & carbonation it has...that holds up thru-out that may give the edge as well.  All in all it is a very nice Belgian brew that I will continue to enjoy and cellar for years hopefully.   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 4 | taste: 4.75 | feel: 4.75 | overall: 4.5 Look - 2 finger head from a 750ml bottle and to a Belgian glass. Deep brown with a slight ruby hue. Great head retention. Thick foam - nice Khaki color. Quite opaque, but not cloudy    Smell - Not very aromatic. Some Fig and Plum aroma. Some Belgian spice and yeast    Taste - Quick bite of booze up front. Sweet fruit rush in - cherry, prune, raisin. Some malt sweetness. There's an amazing Belgian richness (slight funk, spices, yeast, sharp tang). Sweetness and fruitiness fade, then the beer dries out and gets a roasty / slightly charred wood flavor    Feel - Medium + / Fairly full - Thick and a bit syrupy. Stasy fairly active throughout the entire bottle and doesn't totally flatten out    Overall - This is a very good Quad with cherry that is rich and flavorful. More cherry may have been a bit better. This one definitely got better as it warmed up. Strong Belgian yeast flavors and spices. Very happy with this one. Doesn't get much better than this.   
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 750 ML bottle poured into a tulip glass.    L---Reddish brown color with a good head with some retention and so-so lacing.    S---Cherries, brown sugar and a touch of booziness.    T---Again, cherries & brown sugar. Caramel malts & dark fruit.    F---A touch boozy, but not as much as the alcohol content would lead you to believe. Good carbonation. It feels like a serious beer.    O---Excellent offering from an excellent brewery. This is Wifey's single favorite beer. It's always in the rotation as a treat for both of us.   
look: 4 | smell: 4.5 | taste: 3.75 | feel: 4 | overall: 4 
look: 3.5 | smell: 4.25 | taste: 4 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 5 | taste: 4.75 | feel: 4.25 | overall: 4.75 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 Sunday, October 28, 2018	7:56 PM	  1 pint 9.4 fluid ounces/750 mL bottle poured to wine glass  Sight: dark amber, medium off white foam, hazy	  Smell: very good fragrant, fruity, nice aroma	  Taste: very good, balance - medium to high bitterness	  Mouthfeel: very good, long follow through, bitter after taste  Overall: excellent beer, repeat, look for yes   
look: 5 | smell: 3.75 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.75 | smell: 4 | taste: 4.75 | feel: 4.5 | overall: 4.75 A: Pours a thick 2 finger tan head. Color is a pomegranate maroon. Nice lacing. Bits of yeast floating about.    S: Chocolate, cherries, some sort of port wine. Caramel, rich, sweet    T: Flavor immediate jumps out. Dark deep rich maltiness with brown sugar, chocolate, and spices literally rises into the roof of your mouth. Transitions to some dark fruit, and alcoholic. Super smooth for 9.7%.    O: Incredibly complex beer that has it's own style. A mish mash of flavors that create one beautiful experience. This is definitely a sipping beer.   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 A - Pours a murky brown with a large foamy tan head. Nice amount of soapy lacing.    S - Aroma is brown sugar, toffee, dates and dark cherries.    T - The taste is brown sugar, caramel, molasses, dark cherries, prune, raisins and figs.    M - Medium body with medium carbonation. Creamy mouthfeel with a soft dry finish.    O - Very solid American made Quad. The flavors are rich and inviting. Very nice.   
look: 4.5 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 3.75 | overall: 4 12 oz bottle traded from Hinda65. Poured into Central Waters snifter.     Nice toffee caramel color, good balance of opacity and transparency, with an egg-foam yellow head of 2 fingers, falling to 1 finger and staying there.     Aroma is lots of caramel, sticky prune, mild chocolate and nutty notes, slight red grape notes.     Flavor is warming and boozy, with a good presence of hot caramel, dark cherry, fig, prune, raisin, nuts, and brown bread. A lot going on, but not really a focus on any one or two things.     Feel is a bit overcarbonated than I'd like for a Quad, with warming alcohol and a hot but not particularly drying finish.     Overall, a good but not great Quad. I'd like to see this barrel aged.   
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.5 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 3.5 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4 | smell: 4 | taste: 3.5 | feel: 4 | overall: 4 Unknown vintage (date smudged); drank 9/9/18 @ the Yarchives.     Cloudy orange/red rust appearance.     An even pour yielded a nice khaki head; almost no lace.     Cherry, caramel & leather notes in the nose.     Medium thick mouthfeel.     Cherry juice & caramel flavors up front; strong clove notes & some leather on the finish.     Not bad, but that clove dominates the flavors underneath. Good, not great.   
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.25 | overall: 4.75 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.75 I have no clue how I have not reviewed this beer before.     Experimented with a 4 year aged bottle (2014 vintage)    Pours murky brown with ample yeast sediment.    Aroma is of sweet malt, booze, and a bit of yeast. A little muted with age.    Taste is of a classic quad. Lots of dark fruits (figs and raisins). The beer is sweet. Borderline too much for the traditional style. Lots of honey, malt, and brown sugar. A little booze, tart cherry, and lemon peak through exciting the palate.    Overall, a good beer and one of the better American examples of the style. This did age significantly better than the sixth glass by boulevard. I see this pairing well with poached pears or filet with beef Demi glaze. It gets a 90/100.   
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 The 2013 vintage of Three Philosophers is a smooth, thick beer that tastes malty and somewhat like caramel. It is a lighter brown and has a soft, sweet smell to it (though thankfully isn't too sweet to the taste).   
look: 4.25 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4.25 Beautiful heavy head and nice dark brown color. Predominately molasses with a licorice hint. Very tasty and would definitely drink again. 
look: 4.5 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 The Liefmans Kriek and the Belgian Quad blend produces quite a bold and interesting beer. Color is brown with dark red tinges, especially along the extreme edges. Head is average and a slightly pink off-white color. Aroma is full of yeast, cherries and light sweet bready malts. Taste is sweet yet has a nice carbonation from the blending of the Kriek. Cherry, alcohol, yeast are players and this is a fine yeasty and bready example of a quad. Finish is slightly sweet and has touches of banana and cherry   
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.25 | overall: 4.5 Every I have this beer I like something different. Today its the complexity in the nose. Yesterday it was the complex blend of so many different tastes. Tomorrow it might be the way it enhances and works in harmony with the seafood appetizer. It wasn't made to overwhelm the senses, and it certainly wasn't made by a team of shy, withdrawn folks. Just a nicely balanced, well made beer that always satisfies.   
look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 L-Pours a dark chestnut brown beer with some yeasty floaters. Massive three finger head  S-Oaky and yeasty spiciness. Dark fruit, cherry is please, phenolic and boozy.  T-Malty, malty sweet, caramelized malt, dark fruits including cherry, brown sugar, bitter hop, honey and molasses.  F- Chewy and heavy.  O- My first Omegang beer. Extremely well crafted beer. I enjoyed every sip.   
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 Fairly good beer but for its reputation and name I was expecting more. Nice amber-brown color with some nice head and lingering lacing. Smells of sweet dark fruit. Tastes of ripe fruit, caramel, malt, grain and that yeast so indicative of this style. Smooth mild mouthfeel with some mild carbonation. A little too sweet and cloying for me without much complexity or bitterness to balance the sweetness. Alcohol taste is well-hidden though.   
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.75 | smell: 5 | taste: 4.75 | feel: 4.25 | overall: 4.5 I found this on the beer list where I live about 7 hours away from Cooperstown and said Beer me. A friend from upstate ny introduced me to Ommegang many years ago and I’ve never been disappointed. Being a quadrupel, you expect a stronger beer with complex notes and flavor and this beer has all of that. I am not sure I understand the description above that includes a sour blend. I didn’t get that. I found it to be smooth and very indicative o& a quadrupel with one exception.. .it needed more carbonation. Delightfully enjoyable beer. My beer bottle label was brown and green, very different from above, but O probably just changed labels over the years. Prost   
look: 4.75 | smell: 4.75 | taste: 5 | feel: 4.75 | overall: 4.75 Exceptional! 
look: 3 | smell: 3 | taste: 4.5 | feel: 4 | overall: 4.25 I remember my first beer. Murky, foamy pour. Disturbing sediment floating. Grainy, corn syrup smell. Lord help me.     Wait! I taste delicious black cherries and chocolate. All is forgiven. I'll close my eyes and enjoy.   
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 750mL corked bottle 2015 vintage poured into a Chimay chalice at 55F 9.7% ABV. The beer pours bright reddish brown with light brown head. The head recedes to a thin cap and leaves a little lacing. The aroma is ripe fruit, more cherry, and brown sugar. The taste is a wonderful mixture of barely tart cherry, caramel, dried fruit, and dark sugar. The mouthfeel is medium bodied, medium plus carbonation and mostly dry in the finish. There is no appreciable bitterness, but it's not cloying. Overall, excellent. This is a great beer. Recommended.   
