look: 3.75 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 A big IPA for the price of one much smaller in depth. We were surprised at how well this beer holds up against other widely available classics. Juicy, refreshing, and full of hop flavor, this beer is good choice if you're looking for something familiar.   
look: 5 | smell: 4 | taste: 3.75 | feel: 5 | overall: 4 4 out of 5 Jeff Goldblums. I have found this to be decent . I like that I can often find it in a single. For an IPA that's slightly over 7%, I would categorize the price as borderline affordable. BLUF: this IPA is a safe bet.   
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 3.5 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 Pours deep amber with a small white head that reduces to a film and leaves some lacing on the edges of the glass.    The aroma is full of hop character - citrus fruit, pine, and floral notes come to the front. There is not much in the way of malt in the aroma.    The flavor follows suit with big hop character - a firm bitterness followed by notes of grapefruit and pine. The malt is balancing without subtracting from the hops.     Medium bodied and drinkable.    Great example of the style. Always a good choice when fresh.   
look: 4 | smell: 3 | taste: 4 | feel: 4.25 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 OG of DIPA's. Not NE style but nice and piney and hoppy. Reminds me of the title itself - pacific northwest, cold, bitter, pine. Damn good stuff and I still go back to it.   
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 2.5 | smell: 3 | taste: 4.5 | feel: 3 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4.25 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4 Amber and clear with a thin but rich head that leaves some lacing. A nice well-balanced and easy drinking IPA that doesn’t overwhelm you with hoppy bitterness. Some pine, grapefruit, and other fruity notes. Malt balances the hops and has a clean dry finish. Great go-to IPA.   
look: 4.25 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 Look: A dark amber color, almost representative of an amber or cider ale.  Smell: Strong with hops, with a bitter presence.  Taste: The hops and bitterness are strong. Minimal sweetness. Surprisingly underwhelming however, in terms of flavor.  Feel: Average. Carbonation is moderate.  Overall: A solid representation of a highly hopped brew. However the extra hops and bitterness are not balanced with flavor, however that is characteristic of the style, I suppose. Not a brew I would have often, but an interesting brew nonetheless.   
look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.75 | overall: 4.5 This is my go-to beer where I live. A twelve pack for under fifteen bucks? Sign me up. Not an absolute stunner, but a great entry beer available at a lot of places at a reasonable price. The only major problem is getting it fresh enough to truly enjoy it.   
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 H25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 5 | taste: 4.75 | feel: 4.25 | overall: 4.5 355 ml bottle. Its foam left some lacing. Resinous and caramel notes really well intermixed. Lots of earthy and some fresh grassy hops on nose. Booze notes when warmer. Full body.   
look: 4.25 | smell: 4 | taste: 4 | feel: 4.5 | overall: 4 Thick, hazy peachy appearance. Two inches of lasting foam. Flowery and sweet aroma. Sweet peachy taste, some bitterness, you can tell this is a high alcohol beer, but the boozy flavor is not overpowering. Nice, think mouth feel. This is a good sipping beer   
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 3.5 | smell: 4 | taste: 3.5 | feel: 3.5 | overall: 3.5 A good Sierra product, used to be more biting. They apparently softened some of the hops, and may have added some extra malt or other sweetener. An improvement, but prefer some of the East Coast products.   
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4.25 Excelent cling to the glass, good hoppy taste .  Even tho this was out of date very solid beer. Good balane 
look: 4 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Nice crisp slightly bitter IPA, enjoyable but not particularly amazing. Pours a nice lighter amber color with a little head and spotty lingering lacing. Smells a little more faintly of some nice citrus zest hops and some weaker floral hops. Tastes similarly, along with some malt, caramel, piney hops and bread. Smooth thin mouthfeel, good carbonation. Again, nice and easy to drink, just not particularly memorable. Certainly, I was expecting something “extra” and this beer just never delivered.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 3.5 | feel: 3.5 | overall: 3.75 Not much happening with this one. Boring and more beery/bitter than a good IPA. 
look: 5 | smell: 5 | taste: 4.75 | feel: 4.75 | overall: 4.75 hoppy with a bitter finish and a sweetness that lingers 
look: 3.75 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 Hoppy, easy to drink beer. Pine scent with citrus hint. Quite fragrant hoppy scent. Light body with the right amount of bitterness. Good beer. 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4.5 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3 | smell: 2 | taste: 1.5 | feel: 3 | overall: 1.75 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3 | smell: 3.25 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.5 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.5 | overall: 4 Can    Light copper color. Headdy lacing on glass. Citrusy smell.    Flavors of orange and pine. Strong bitterness.    Light and prickly mouthfeel. Best bang for your buck at the stadium that's why I drink this often.   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Pours a chill hazed deep amber producing 3 fingers of frothy, beige head which recedes to leave sticky coating of webby lace. Aroma is citrus, pine & herbal/leafy hops, fruity with a sweet caramel malt note. Taste is caramel malt sweet balanced with pine heavy, light citrus & herbal hops. There is a leafy dank hint & pepper in the latter half of the sip. There's something a little tropical here also. It finishes bittersweet and fades to dry & increasing bitterness. Mouthfeel is moderate-heavy bodied with low-moderate carbonation, wet fronted, slick with a little bit of pepper bite & a hint of aftertaste astringency.   
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 Decanted from a 12 oz (355 ml) bottle into a conical pint glass at Horsefeathers in Tarrytown, NY; bottled on 1/30/18.  A: Pours a clear, dark amber color with orange highlights and a foamy, light wheat colored head, solid retention, and excellent lacing.  S: Aromas of grapefruit and pine, but earthier and woodsier that many IPAs.  T: The palate certainly follow the nose, but the caramel/molasses/bready malt core is now front and center.  M: Medium bodied with excellent carbonation and full, creamy presence.  O: A top shelf American IPA. My buddy tells me he buys it by the case. Maybe I should.   
look: 4 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4.75 | smell: 4.75 | taste: 5 | feel: 4.75 | overall: 5 
look: 4.25 | smell: 3.5 | taste: 4 | feel: 4.5 | overall: 4.25 Looks a semi translucent orange/honey color and creamy head which dissipates quickly. Smell seems somewhat muted,some fresh cut grass, citrus. Taste is delicious, hints of citrus,pine,malts. Feels well constructed.Mild hop bite lingers on tongue until a vague caramel malt washes it away. This is a solid IPA. Not the best, but a great representation.   
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 3.25 
look: 4 | smell: 2.5 | taste: 3.5 | feel: 4 | overall: 4 [Original rating 2011-06-17] Pours light copper with a thick tan head that settles down leaving nice lacing. Aroma Is flowery hops, a little citrus and grass. Taste starts off sour, then sweet, finishes bitter.   
look: 3 | smell: 3.5 | taste: 3.5 | feel: 3 | overall: 3 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 3.5 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 How have I never rated this before?!?? But anyway....    L: Clear amber with a fluffy off white head. Good retention. Sheets of lacing.    S: Very woodsy smelling, tree bark and pine cones with some earth. There's also a nice citrus quality of bitter grapefruit zest and juicy pink grapefruit flesh.    T: Grapefruit zest and pink grapefruit flesh upfront, but leans more bitter and oily than juicy or sweet. Nice candy caramel and toffee notes without getting cloying, as well as some nice bread crust. The finish grows piney with a bitterness that contains to build and grow to consider levels after about ten seconds. Finishes fairly crisp and lightly dry, though.    F: Medium-plus with creamy carbonation, slick and oily with hop resins.    O: One of the OG IPAs of Americans, and still tastes amazing to this day. Highly recommended as a staple beer for all hopheads.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.75 | feel: 4.25 | overall: 4.5 My go to bottled beer. Even better when I can find it on tap. Perfect balance of malt for the hops which are substantial. Nice piney/citrus notes, good carbonation/mouth feel. Full flavor, but very drinkable. Nice lasting head and lacing.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 
