look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 5 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4 | taste: 4.75 | feel: 4.25 | overall: 4.5 Had a friend bring it back from Amsterdam (hard to find there too!) Tasted a lot like the St Bernardus Abt 12 but with maybe less of a bitter aftertaste. A thicker head than most similar beers. Malty, rich flavor. Beautiful color.   
look: 4.75 | smell: 4.75 | taste: 4.5 | feel: 4.25 | overall: 4.75 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 4.75 
look: 4 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.75 | smell: 4 | taste: 4.75 | feel: 5 | overall: 4.75 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 5 | smell: 4.75 | taste: 5 | feel: 4.75 | overall: 5 
look: 4 | smell: 4.5 | taste: 4.75 | feel: 3.5 | overall: 4.5 
look: 4.5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 SO MUCH GOING ON HERE! This has to be had to be believed. Toffee, raisin, sweet, delicious! 
look: 4.5 | smell: 4.5 | taste: 5 | feel: 4.5 | overall: 5 Huge aroma of dried cherries & figs upon first pour. Has the requisite Belgian yeast foamy head with lots of carbonation in the form of microscopic bubbles. A bit too carbonated & foamy for me, but a few quick swirls of the glass fixes that. Definitely a big beer, it is amazing this beer is made with only 4 ingredients. Lots of dried fruits, molasses, a bit boozy. Great brew.  Thanks to Chad for sharing!    1/10/15  Bottle  5 rating   
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 5 | feel: 4.5 | overall: 4.75 Deep amber mahogany color pretty 1 finger head, off white    Prominent phenolic notes, banana and clove, boozy, a savory quality, some chocolate     Malt forward, fruit, but less of it than st bern, crisp, but not sharp, pleasant estery quality marries very well with phenols and malt, crisp sweetness and touches of cherry     Medium body    It’s better and it’s different than St. Bernardus, and I love st. Bern with all my heart. It’s less forthcoming, feels more like beer and is simply phenomenal. That being said it’s not light years better, but is marginally better. I would argue that it is a fundamentally different beer.   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 330 ml fresh bottle in a bar in Brugge, BE. poured into goblet.     pours a very dark brown, moderate tan head. rich malty aroma - dark fruit, toffee. taste is fairly dry - not sweet at all. medium bodied.     overall a bit disappointed in this fresh - luckily I was able to bring home a few bottles to age, I think this will improve a bunch like the similar St. Bernardus   
