look: 4.75 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 A pretty mahogany color with a light tan head. Aromas is butter, wine, toffee & malted grain. Nice balance of sweet, salty & bitter with the nod to sweet. Nice flavor: grapes, wine, malt, toffe, banana & not much alcohol unless you look for it, then it moves up front with a bittter finish. Medium body, very smooth with a slightl deficit of carbonation but plenty of alcohol to occupy the the tongue. An excellent quad.   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Sweet and smooth when drinking with a sweet lingering aftertaste. 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 330 ml bottle into a goblet. Best by 8/11/21, had 6/13/18.    Pours a dark ruby amber, opaque, with a two inch foamy head on an average pour. Great retention, lots of foamy lacing. Aromas of plums, grapes, malt, dates, figs, some brown sugar, light wine, light peppercorns in the head when warm. The taste is plums, malt, grapes, toffee, dates, some figs and caramel, light wine. Very smooth, creamy, a solid full body, well carbonated.    Great flavor and aroma, terrific mouthfeel, a classic rendition of the style. Well worth a purchase.   
look: 4.25 | smell: 4.25 | taste: 4.75 | feel: 4.75 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.5 Gorgeous quad, nicely sweet with a huge head that leaves a beautiful lace on the glass. Almost a cinnamon raisin profile, not too alcohol forward. Great all around.   
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 A complex Belgian quad, this ale presents a variety of flavor in the initial sip, across the tongue, and through the aftertaste. It’s got a fascinating sweet-bitter thing going on, probably beyond my ability to properly describe. I’ve seen other reviews that warn of drinking this too early, and I may be in the same boat, with my bottle being a consume by 31 January 2023 vintage. I’m also drinking it a bit colder than recommended. Anyway, it’s pretty good, and I’m looking forward to trying another one. 2019/02/03   
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 330ml bottle (best before 06/03/2023) poured into a snifter at 51°F.    L: Deep cooper with big tan head with long retention and good lacing.  S: Strong dark fruit (raisin, fig), banana, bready. Just a hint of alcohol.  T: Bready, lots of raisin, molasses. Very long, dry, warm finish. Very complex but nicely balanced.  F: Carbonation is well integrated into the beer. Creamy, medium-full body.   O: Superb. This is a perfect example of a Belgian Quad and leaves very little room for improvement. I've had it side-by-side with Westvleteren 12 and although slightly different, in a blind test I could see myself choosing both as a "better" beer depending on the day. High praise for a beer easily available on grocery store shelves.   
look: 3 | smell: 3 | taste: 3.5 | feel: 4 | overall: 3.5 I think this is just not my style 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4.75 | smell: 4.25 | taste: 3.5 | feel: 4.25 | overall: 3.75 ‘Best before’ date reads 1/31/23, so this was presumably bottled on 1/31/18    Pours a light brown with an overarching sheen of the deepest maroon; a large head of off-white foam expands rapidly and relents sparingly; when it does eventually recede, there is plenty of thicker, soapy lacing left clinging to the glass.    Aromas of stiff malt and light plum upfront, with wisps of yeast, lightly acerbic red wine grape must, hints of buttered banana bread, and smoky toffee building through the rest of the bouquet restrained slightly by minor boozy tones.    Taste bursts with sticky malt character; caramel, dry toffee, unripened banana, toasted wood, dark fruit juice, and unripened plums; plenty of booze sneaks from the mid-palate through to the finish.    Mouthfeel is silky and balanced, with a medium, verging toward heavy body and excellently integrated carbonation; robust, and with a comfortable yeasty weight that’s equal parts delicate, dry, and soothing through the finish.    The depth and complexity this quad begins to show is nothing short of incredible, but at just a few weeks shy of a year in the bottle, it’s a victim of its age; booziness and other indications of a too-short time in the bottle hold this one back just a bit too much. I can’t help but treat this as purely a review for posterity’s sake, because as of right now, this is a solid quad (if not somewhat disordered); in a few years’ time, however, I can’t see this becoming anything but something special, and I sure as hell look forward to that chance to revisit.   
look: 4.75 | smell: 4.75 | taste: 5 | feel: 4.25 | overall: 4.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 4.75 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.25 | overall: 4.25 Bottle poured into a chalice    A: Chocolate, roasted malt, caramel, complicated spice hinting clove and cinnamon, slight scent of alcohol  A: Dark brown, espresso color creamy head, good foam retention  F: Very strong malty flavor, noticeable vanilla flavor, not too sweet with a hint of caramel, roasted bread crust, roasty bitterness  M: Creamy and bubbly, well carbonated, full body with a heavy emphasis on roast sense. Warm sensation from alcohol but very smooth.     Overall, Rochefort 10 is a very sophisticated Belgian Quad with a heavy emphasis on roasty, malty flavor. The complicated body gives me a slightly new sense of flavor in every sip. It is a good quad to enjoy with those who have basic understanding of Trappist beer. Not recommended to a beginner.   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.75 | overall: 4.5 맛있다. 개인적으로 앱 12보다 더 맛있다. 애비 맥주가 트라피스트 맥주를 따라가려고 해도 정통은 따라올 수 없다 뭐 이런느낌...? 같은 쿼드러펠 벨지안 에일이지만, 더 향과 맛이 풍부하다는게 느껴진다. 맥알못이라 더 자세하게 묘사하기는 어렵지만 뭐..내 입맛에는 그렇다.   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Another world class beer that everyone should try. Belgian quadrupels ( I mean the ones made in Belgium) are usually on the spot every time, but this one outstands.  Pours as a dark brown/very dark red liquid. Smells and tastes like spicy chestnuts, toffee, a little hint of bananas, and the 11.3% alcohol content should not intimidate you because it's very well hidden in a very complex, delicious and well balanced beer.  Give yourself this treat of a very excellent beer.   
look: 2 | smell: 1 | taste: 1 | feel: 1.5 | overall: 1.25 Was so disappointed by this beer. Terrible funky smell as if distilled from spoiled fruit. Tasted even worse - tried sipping slowly but only finished about 2oz before I poured it down the sink.  Just awful   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.75 poured into a snifter.    appearance: 2 finger tan head, very frothy. dissolves to a very creamy cap. beer itself appears to be brown with garnet highlights.     smell: very sweet. strong notes of caramel with a bit of raisin and a dash of stonefruit.     taste: initial taste is very malty and phenolic. as it sits it grows into a mix of molasses and brown sugar, accented by notes of spice. the aftertaste is mildly bitter with the spice taking a back seat and the molasses-like flavor lingering. the alcohol is definitely noticeable, sitting at 11.3%, but it isn't overpowering.    feel: lots of body in this beer. very creamy and thick, it sticks to the tongue and mouth. definitely a sipper.    overall: an excellent quad. it's easily drinkable, despite (or perhaps because of) the sweetness and the velvety smooth mouthfeel. definitely one of my favorites, although for around $8 per bottle it's not something i'd drink every day.   
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.75 | overall: 4.75 APPEARANCE: wonderful deep, rich brown with a light toast head.     SMELL: another romantic complex malt forward brew     TASTE: wonderful notes of raisin, malt, molasses and a nutty alpine cheese    PALATE: luxurious, smooth and rich. low carbonation     OVERALL: a world class Quad and arguably considered to be the best Belgian Trappist Quad commercially available in the US   
