look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 Complex and clean, Two Hearted is a an IPA that we feel is mostly enjoyed by hopheads and beer connoisseurs. It is rather unassuming and has mostly subtle tastes, leading to its lower rating. However, its still a beer that we would enjoy given the opportunity.   
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.5 
look: 5 | smell: 4.25 | taste: 4.75 | feel: 4.75 | overall: 4.75 Picked up from harris teeter because of so many good things ive heard about it.  Look- a beautiful dark, hazy golden brown color with about a finger of head that becomes suds in a few minutes   Smell- I get sweet woodiness with berry and fruit mixed in. So good they could make candles out of this.  Taste- more floral than the smell, but the fruitiness still comes in strong with a nice hoppy bitterness on the finish.   Feel- on the lighter end of thick with a smooth finish. Could easily drink a few on a cold night in or on a summer patio  Overall- one of the best ipa’s i’ve tasted. Flavorful without being offensive, and would pair nicely with a good burger or even a big steak. If you can find a 6 pack, buy it.   
look: 3.75 | smell: 3.5 | taste: 3.25 | feel: 3.25 | overall: 3.5 Two hearted is a solid IPA, From a guy that dosent like IPA's that means something. After having a couple, I appreciate the grapefruit smell and the alcohoI kick. I think this would be an excellent beer to have on a warm summer evening enjoying time with friends..   
look: 5 | smell: 5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 One heart 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 A SOLID IPA. Nothing too fancy.  Light, clean, fresh to the finish.   Light hops profile.   A total summer day, perfect IPA!   I would totally recommend this.   A great beer from start to finish.   
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 3.5 | smell: 4 | taste: 4 | feel: 3.5 | overall: 3.75 Very strong, but good flavor. Excellent beer for the price. Very bitter aftertaste, but comes with the high ABV. 
