look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 The look is a cloudy, straw yellow with plenty of bubbles, a large pillow of white foam that lasts, then settles to an eighth inch and never gets any smaller.(to the last swallow!)  This is a beer you can smell when the bottle opens, wheat, yeast, banana,& slight clove  The taste is what you smell, plus the little bubble gum on the tongue before you swallow, not bitter at all. So good!  The feel is creamy with some carbonation. Smooth!  The flavor is different than most beer styles, but I could see this flavor could become a craving. This brand is exact to the description of a German Hefe Weiss!   
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 5 | feel: 4.75 | overall: 4.75 Poured from a 500ml bottle into a Teku/IPA shaped pint glass after swirling yeast to mix in after half the bottle was poured out.    Look: Wonderful hazy gold/toasted yellow pour. 1/2 cm rocky foam that slowly dissipates into a 1 mm lacy foam head.  Smell: Strong, light fruit smell off the bat. Nice hint of fresh baked bread from the malt. Tiniest hints of cloves and vanilla.  Taste: Sweetness coats the tongue. Starts out nice and malty, with a hint of roasted nuts. Very quick flash of cloves act as a transition. Majority of the flavor is a very soft fruit flavor that makes its presence known quickly, and slowly fades into the background where the cloves make another brief but noticeable appearance.   Feel: Very smooth, slightly thick but not chewy. Flows very smoothly over the tongue, carbonation is very well balanced.    Overall: A fantastic beer, that everyone should try. I would highly recommend keeping this stocked, or using as a special treat for oneself. The best way I can describe this beer is that it tastes like biting into a piece of freshly baked banana bread that has just a tiny bit of walnuts in it. One of my favorite beers, without a doubt.   
look: 4.75 | smell: 4.75 | taste: 5 | feel: 4.75 | overall: 4.75 This craft earth-shattering anthemic beer with vibrant depth and a forceful punch. The powerhouse beer’s defiant yet atmospheric taste is perfectly captured on its debut beer from 1040. This beer was premiered by The Huffington Post who reported, “Together, the beer and bubbles provide an aura that is subtle, unpredictable and claims no specific color. But still, it’s there, like a curious field of suppressed energy. It’s almost shamanistic.” As Bayerische Stastsbrauerei declares….“Our beer is about altering your consciousness through the sheer power of Beer…Our beers don’t deal with your politics, they question the nature of your reality.” In the fall of 2016 Leaders of Bayerische Stastsbrauerei were asked by beer label Reimagine to do a full brew of original versions of songs by The Police, a band they have often been compared to - if Sting was a high energy and inventive beer. Weihenstephaner Hefeweissbier went #1 on Peru’s most revered mainstream Beer teview website, Beer Doble Nueve in Lima.   
look: 4.5 | smell: 4 | taste: 5 | feel: 3.75 | overall: 4.75 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.75 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Go to Dirk 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 4.25 | overall: 3.75 
