look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 Not a huge fan but just ok 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4.75 | taste: 4.75 | feel: 4 | overall: 4.75 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 From notes 8/23/13: Pours a chill hazed coppery orange producing 2 fingers of beige, frothy, somewhat lasting head that leaves a nice coating of lace. Aroma is heavenly resinous pine, floral, a touch of citrus and a faint tropical hint with caramel malt and hint of vanilla. Taste is up front pine, citrus (heavy to grapefruit) and tropical hops backed by caramel malt sweetness. Finishes with a hop bite and bitterness that intensifies and lingers long in the aftertaste. A solid example of the style.   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 2 | taste: 2 | feel: 4 | overall: 2.5 [Original rating 2015-11-26] Pours clear orange/gold with a medium off white head. Aroma is grass, pine, alcohol. Taste is bitter hops, way too bitter with not much balance. This is my second try with this beer. I didn’t care for it the first time but didn’t rate it at the time, gave it another shot. I won’t try it again, there are many better DIPAs out there.   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4 | feel: 3.75 | overall: 4 
look: 2.75 | smell: 2.75 | taste: 2.75 | feel: 2.75 | overall: 2.75 
look: 4.5 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4 | smell: 4.75 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 Great stuff. Hot day in SD and I wanted something refreshing. This hits the spot. One of the best-looking beers I've seen in a while. Crystal clear bronze color, glassy. Great mouthfeel and refreshing apple/grapefruit taste. Not a hop bomb (thank god). Smell is a bit weak, but that's OK.   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.5 Not much else to say that other reviews haven’t said. Great beer and an awesome west cost brew. 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3 | smell: 3 | taste: 3 | feel: 2.75 | overall: 3 
look: 3.75 | smell: 4.5 | taste: 4.5 | feel: 3.75 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 H32 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.75 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 4.25 | taste: 3.5 | feel: 3 | overall: 3.5 12oz bottled 1/29/18 (67 days ago) poured into a Spiegelau IPA glass at fridge temp 8.1% ABV 95 IBU. The beer pours mostly bright with a tiny bit of sediment. It is light copper in color with sticky eggshell colored head. The aroma is a mix of pine, caramel, faint citrus and dank. The taste is partly bitter up front with some sweet caramel overtones and a heavily bitter, tea-like finish. Mouthfeel is thin bodied, adequately carbonated and dry in the finish. Overall, fair. I'm not sure what happened to this IPA. This bottle tastes like a session IPA with ABV cranked up to 8.1 with sugar. Thinnest body I've ever seen in a double IPA.   
