look: 4.75 | smell: 4 | taste: 3.5 | feel: 3 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4 Pours black with two fingers of khaki foam. Head retention is good. Aroma is milk chocolate, cocoa nibs, and roasty, toasty, earthy, nutty malts. It carries a light bitterness to the aroma, but it fades away as the beer warms a touch. Flavor profile is milk chocolate, cocoa nibs and caramel layered over roasty, toasty, earthy, nutty, caramely malts. It carries a distinct and notable bitterness, with the chocolate working to sooth that a touch. It becomes more balanced as the beer warms. Mouth feel is lightly creamy, with a medium-thin consistency. At warmer temperatures, the consistency thins out a touch with a more still texture as opposed to creamy. Overall, chocolate notes are pleasant with a light-bodied dark beer underneath.    Served in a 15.5oz Speigalau tulip from a 16.9oz bottle.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3 | taste: 4.75 | feel: 4 | overall: 4.75 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4 | smell: 4.25 | taste: 3.75 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 2 | smell: 3 | taste: 3.5 | feel: 3.5 | overall: 3.5 Poured from a 500 ml nitro can into a pint glass. Smelled of chocolate and dark fruit. Head was off white and fluffy. Good retention and lacing. Taste was chocolate and cherries. Mouth feel was smooth and fluffy. Overall not bad at all for an English stout. Great for the holidays or as an after dinner beer.   
look: 4 | smell: 3.25 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4.25 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 Had at The Tap, Bloomington, Indiana, on draft into tulip pint.    A classically slow-starting English stout, until the perfectly weighted “double chocolate” arrives, creating a beautifully sessionable stout experience.   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Awesome flavor very smooth smells great if you love Guinness you will love this even more 
look: 3.5 | smell: 3.25 | taste: 3.25 | feel: 4 | overall: 3.75 It's dark with a creamy brown head that dissipates quickly.     Smell was slightly metallic with a hint of coffee. Not chocolate whatsoever.    Taste was extremely metallic; almost like having a mouthful of pennies. I got a little hint of chocolate, but not much.    Feel was nice. It was thin, but easy to drink and pleasant.     Overall I don't think I'd get this beer again. The metallic taste was too much for me and I was disappointed with the lack of chocolate flavor.   
look: 5 | smell: 5 | taste: 4 | feel: 4 | overall: 4.5 Only beer I’ve had that has a hint of chocolate without tasting like hell in the aftertaste. 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Just awesome. 
look: 4 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.75 
