look: 4 | smell: 2.5 | taste: 2.25 | feel: 2.25 | overall: 2.25 It has a nice rich amber color which is most likely the result of artificial coloring. It produced a nice head. The favor was lighter than I expected and the hops were equally light. Overall the taste and drinking experience was comparable to Heineken. Not bad, but I hoped for better. I want to try the new Yuengling Pils.   
look: 3.25 | smell: 3.25 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 4 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 Solid choice, no frills. 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.25 If you like a hoppy lager, then this is your brew. A nice amber color gives the impression that this was the taste of beer pre-prohibition. Consistent flavor from first bottle to last. Speaking of bottles, doesn’t beer taste a little better when poured from green glass(except for Mickey’s). Enjoy!   
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 3.75 | smell: 3.5 | taste: 4 | feel: 4 | overall: 3.75 
look: 3 | smell: 3 | taste: 2.5 | feel: 2.5 | overall: 2.75 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 H42 
look: 3.5 | smell: 3.25 | taste: 3.25 | feel: 3.5 | overall: 3.25 
look: 3.5 | smell: 3.5 | taste: 4 | feel: 4 | overall: 3.75 
look: 3 | smell: 3.25 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 3 | smell: 2.75 | taste: 2.75 | feel: 2.75 | overall: 2.75 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 3.25 | smell: 3.25 | taste: 2.75 | feel: 2.5 | overall: 2.5 
look: 4.25 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.5 
